Date,Open,High,Low,Close,Adj Close,Volume
1978-03-28,1.278891,1.298770,1.278891,1.292144,0.310486,2659824
1978-03-29,1.292144,1.302083,1.285517,1.292144,0.310486,1644941
1978-03-30,1.292144,1.298770,1.282204,1.292144,0.310486,2195770
1978-03-31,1.292144,1.295457,1.285517,1.288831,0.309689,1901491
1978-04-03,1.288831,1.288831,1.278891,1.282204,0.308097,1746806
1978-04-04,1.285517,1.298770,1.285517,1.295457,0.311282,2542867
1978-04-05,1.295457,1.312023,1.295457,1.308710,0.314466,1969402
1978-04-06,1.308710,1.318649,1.302083,1.308710,0.314466,1984493
1978-04-07,1.308710,1.331902,1.302083,1.318649,0.316855,2637187
1978-04-10,1.318649,1.345155,1.315336,1.341842,0.322427,1520438
1978-04-11,1.341842,1.341842,1.325276,1.338528,0.321631,1912810
1978-04-12,1.338528,1.348468,1.325276,1.348468,0.324020,1377072
1978-04-13,1.348468,1.384913,1.348468,1.384913,0.332777,3067286
1978-04-14,1.398166,1.427985,1.398166,1.414732,0.339942,5810112
1978-04-17,1.424671,1.444550,1.424671,1.424671,0.342330,4478314
1978-04-18,1.424671,1.424671,1.384913,1.394853,0.335165,2603232
1978-04-19,1.394853,1.418045,1.388226,1.411419,0.339146,2727734
1978-04-20,1.411419,1.437924,1.408105,1.414732,0.339942,4746182
1978-04-21,1.414732,1.427985,1.414732,1.421358,0.341534,3821846
1978-04-24,1.421358,1.447864,1.421358,1.447864,0.347903,1988266
1978-04-25,1.464430,1.490935,1.464430,1.471056,0.353476,7466371
1978-04-26,1.471056,1.494248,1.464430,1.471056,0.353476,5168736
1978-04-27,1.471056,1.477682,1.444550,1.467743,0.352680,4746182
1978-04-28,1.467743,1.480996,1.461116,1.480996,0.355864,3746390
1978-05-01,1.480996,1.510814,1.480996,1.497561,0.359845,5002733
1978-05-02,1.497561,1.543946,1.494248,1.514127,0.363825,4165171
1978-05-03,1.514127,1.543946,1.510814,1.520754,0.365418,3120106
1978-05-04,1.487622,1.487622,1.461116,1.480996,0.355864,5745974
1978-05-05,1.480996,1.494248,1.451177,1.457803,0.350292,3719981
1978-05-08,1.457803,1.457803,1.424671,1.437924,0.345515,1844899
1978-05-09,1.437924,1.451177,1.411419,1.418045,0.340738,3504931
1978-05-10,1.418045,1.427985,1.411419,1.418045,0.340738,1780762
1978-05-11,1.418045,1.451177,1.411419,1.444550,0.347107,2965421
1978-05-12,1.451177,1.494248,1.451177,1.474369,0.354272,5945933
1978-05-15,1.474369,1.510814,1.474369,1.490935,0.358253,2693779
1978-05-16,1.514127,1.540633,1.514127,1.537320,0.369398,3603024
1978-05-17,1.537320,1.543946,1.527380,1.530693,0.367806,4093488
1978-05-18,1.530693,1.537320,1.517441,1.520754,0.365418,4365130
1978-05-19,1.520754,1.534007,1.514127,1.517441,0.364622,2603232
1978-05-22,1.524067,1.577078,1.524067,1.570452,0.377360,4176490
1978-05-23,1.570452,1.596957,1.557199,1.560512,0.374971,2988058
1978-05-24,1.553886,1.553886,1.530693,1.547259,0.371786,2901283
1978-05-25,1.547259,1.557199,1.537320,1.547259,0.371786,2425910
1978-05-26,1.547259,1.547259,1.524067,1.530693,0.370503,1754352
1978-05-30,1.530693,1.543946,1.520754,1.537320,0.372108,1384618
1978-05-31,1.540633,1.557199,1.540633,1.543946,0.373712,1592122
1978-06-01,1.543946,1.553886,1.537320,1.537320,0.372108,1497802
1978-06-02,1.537320,1.577078,1.537320,1.573765,0.380929,1090339
1978-06-05,1.580391,1.663221,1.580391,1.646655,0.398572,2652278
1978-06-06,1.646655,1.669847,1.630089,1.649968,0.399374,3870893
1978-06-07,1.636715,1.636715,1.610210,1.630089,0.394562,6587309
1978-06-08,1.630089,1.636715,1.606897,1.606897,0.388949,2554186
1978-06-09,1.603584,1.603584,1.563825,1.570452,0.380127,3071059
